"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2010","2,666.07","2,642.35","2,666.57","2,640.18","3.28B","0.89%"
"01/18/2010","2,642.55","2,645.44","2,648.92","2,629.91","3.09B","-0.17%"
"01/15/2010","2,647.09","2,646.75","2,655.81","2,638.36","4.76B","0.07%"
"01/14/2010","2,645.18","2,633.58","2,661.93","2,633.58","5.31B","0.47%"
"01/13/2010","2,632.87","2,657.90","2,657.90","2,623.46","4.27B","-1.00%"
"01/12/2010","2,659.55","2,632.31","2,659.98","2,623.77","5.75B","1.04%"
"01/11/2010","2,632.20","2,615.61","2,649.20","2,615.61","5.29B","0.68%"
"01/08/2010","2,614.37","2,586.79","2,614.54","2,583.85","7.37B","1.06%"
"01/07/2010","2,586.89","2,603.50","2,611.60","2,570.27","4.55B","-0.63%"
"01/06/2010","2,603.30","2,605.48","2,622.12","2,587.71","5.16B","-0.08%"
"01/05/2010","2,605.28","2,575.62","2,606.07","2,575.62","5.70B","1.16%"
"01/04/2010","2,575.41","2,533.95","2,576.06","2,532.90","1.83B","1.62%"
"12/30/2009","2,534.36","2,520.30","2,534.36","2,519.01","1.99B","0.61%"
"12/29/2009","2,518.99","2,511.26","2,520.86","2,504.87","2.21B","0.37%"
"12/28/2009","2,509.69","2,475.09","2,512.22","2,475.09","2.37B","1.41%"
"12/23/2009","2,474.88","2,467.84","2,476.57","2,456.21","1.93B","0.29%"
"12/22/2009","2,467.64","2,432.22","2,468.79","2,432.22","2.34B","1.49%"
"12/21/2009","2,431.39","2,508.96","2,509.38","2,415.35","2.85B","-3.12%"
"12/17/2009","2,509.58","2,522.65","2,542.50","2,505.97","3.39B","-0.51%"
"12/16/2009","2,522.55","2,495.05","2,523.19","2,482.44","3.96B","1.11%"
"12/15/2009","2,494.74","2,505.59","2,510.29","2,481.70","3.57B","-0.46%"
"12/14/2009","2,506.39","2,519.30","2,519.30","2,492.45","3.33B","-0.50%"
"12/11/2009","2,519.10","2,485.82","2,519.10","2,485.82","3.07B","1.31%"
"12/10/2009","2,486.44","2,481.50","2,492.31","2,476.57","2.81B","0.21%"
"12/09/2009","2,481.30","2,483.79","2,485.84","2,462.88","3.11B","-0.10%"
"12/08/2009","2,483.89","2,484.28","2,497.51","2,470.24","2.94B","0.01%"
"12/07/2009","2,483.76","2,511.95","2,516.18","2,478.58","2.80B","-1.11%"
"12/04/2009","2,511.55","2,499.62","2,512.66","2,484.90","3.60B","0.46%"
"12/03/2009","2,500.04","2,471.15","2,502.55","2,471.15","5.13B","1.15%"
"12/02/2009","2,471.56","2,452.92","2,481.88","2,452.92","4.69B","0.78%"
"12/01/2009","2,452.50","2,416.04","2,452.50","2,413.00","3.86B","1.52%"
"11/30/2009","2,415.84","2,393.42","2,430.25","2,370.53","4.46B","0.93%"
"11/26/2009","2,393.52","2,459.94","2,462.32","2,386.73","5.94B","-2.76%"
"11/25/2009","2,461.53","2,471.09","2,482.29","2,458.74","4.39B","-0.42%"
"11/24/2009","2,471.88","2,481.52","2,491.86","2,455.32","4.82B","-0.38%"
"11/23/2009","2,481.42","2,487.78","2,494.82","2,467.51","6.81B","-0.24%"
"11/20/2009","2,487.36","2,468.26","2,490.30","2,458.63","7.12B","0.75%"
"11/19/2009","2,468.79","2,483.92","2,491.47","2,458.28","8.54B","-0.62%"
"11/18/2009","2,484.23","2,473.69","2,487.61","2,451.71","7.30B","0.42%"
"11/17/2009","2,473.79","2,468.99","2,487.01","2,461.28","6.29B","0.21%"
"11/16/2009","2,468.68","2,427.31","2,471.71","2,427.31","5.65B","1.73%"
"11/13/2009","2,426.80","2,420.07","2,431.23","2,408.62","2.40B","0.27%"
"11/12/2009","2,420.28","2,405.13","2,434.01","2,405.13","5.60B","0.68%"
"11/11/2009","2,403.88","2,382.58","2,414.91","2,380.27","5.60B","0.92%"
"11/10/2009","2,381.95","2,406.74","2,432.34","2,372.04","3.60B","-1.02%"
"11/09/2009","2,406.43","2,395.41","2,406.92","2,380.49","2.28B","0.47%"
"11/06/2009","2,395.11","2,367.62","2,403.27","2,367.62","2.89B","1.18%"
"11/05/2009","2,367.21","2,371.65","2,376.26","2,355.44","3.00B","-0.20%"
"11/04/2009","2,371.86","2,334.94","2,371.90","2,334.94","4.08B","1.62%"
"11/03/2009","2,334.11","2,371.95","2,386.18","2,328.45","3.67B","-1.58%"
"11/02/2009","2,371.64","2,365.65","2,373.20","2,294.56","4.42B","0.17%"
"10/30/2009","2,367.70","2,345.06","2,402.42","2,345.06","5.31B","1.01%"
"10/29/2009","2,344.03","2,354.70","2,354.70","2,235.39","6.92B","-0.48%"
"10/28/2009","2,355.31","2,424.41","2,426.78","2,336.80","5.01B","-2.88%"
"10/27/2009","2,425.20","2,466.88","2,466.88","2,417.47","4.32B","-1.72%"
"10/26/2009","2,467.71","2,468.48","2,475.91","2,456.42","3.44B","-0.01%"
"10/23/2009","2,467.95","2,433.49","2,469.14","2,429.56","4.46B","1.43%"
"10/22/2009","2,433.18","2,476.38","2,476.81","2,421.51","3.77B","-1.76%"
"10/21/2009","2,476.80","2,501.39","2,501.39","2,462.03","3.44B","-1.02%"
"10/20/2009","2,502.22","2,521.34","2,531.79","2,493.78","2.97B","-0.74%"
"10/19/2009","2,520.92","2,515.50","2,521.56","2,497.32","1.79B","0.20%"
"10/16/2009","2,515.81","2,515.59","2,520.89","2,501.79","1.88B","0.02%"
"10/15/2009","2,515.38","2,512.34","2,537.64","2,506.04","4.02B","0.15%"
"10/14/2009","2,511.72","2,472.30","2,512.13","2,472.30","3.56B","1.61%"
"10/13/2009","2,471.99","2,457.10","2,486.13","2,456.98","2.92B","0.62%"
"10/12/2009","2,456.69","2,474.82","2,480.76","2,446.47","2.70B","-0.72%"
"10/09/2009","2,474.40","2,484.94","2,489.92","2,464.61","2.77B","-0.41%"
"10/08/2009","2,484.52","2,513.82","2,524.15","2,472.63","4.51B","-1.15%"
"10/07/2009","2,513.41","2,528.76","2,559.67","2,499.42","6.18B","-0.58%"
"10/06/2009","2,528.15","2,480.83","2,533.06","2,480.83","5.75B","1.92%"
"10/05/2009","2,480.41","2,479.13","2,486.08","2,454.04","6.08B","0.02%"
"10/02/2009","2,479.85","2,477.56","2,493.36","2,433.07","4.43B","0.08%"
"10/01/2009","2,477.97","2,467.90","2,484.68","2,467.64","2.76B","0.42%"
"09/30/2009","2,467.59","2,444.25","2,471.88","2,435.02","2.99B","0.97%"
"09/29/2009","2,443.83","2,398.55","2,444.47","2,398.55","3.03B","1.92%"
"09/28/2009","2,397.83","2,444.38","2,444.38","2,394.77","2.56B","-1.91%"
"09/25/2009","2,444.58","2,468.18","2,468.18","2,432.44","1.84B","-0.99%"
"09/24/2009","2,468.90","2,457.30","2,482.85","2,454.86","2.37B","0.48%"
"09/17/2009","2,456.99","2,440.18","2,474.79","2,440.18","5.24B","0.72%"
"09/16/2009","2,439.36","2,420.32","2,442.14","2,420.32","3.91B","0.80%"
"09/15/2009","2,420.11","2,382.97","2,420.82","2,382.97","4.34B","1.57%"
"09/14/2009","2,382.70","2,415.11","2,415.11","2,377.03","2.70B","-1.38%"
"09/11/2009","2,415.95","2,412.18","2,425.39","2,408.41","4.84B","0.17%"
"09/10/2009","2,411.86","2,383.75","2,422.58","2,383.75","4.74B","1.20%"
